feature,model
BEST,indices
EA,indices
EPNP,indices
NAO,indices
NINA,indices
ONI,indices
PNA,indices
WP,indices
BEST,tele_diff
EA_first_difference,tele_diff
EA_seasonal_difference,tele_diff
EA_seasonal_first_difference,tele_diff
EPNP_first_difference,tele_diff
EPNP_seasonal_difference,tele_diff
EPNP_seasonal_first_difference,tele_diff
NAO_first_difference,tele_diff
NAO_seasonal_difference,tele_diff
NAO_seasonal_first_difference,tele_diff
NINA,tele_diff
ONI,tele_diff
PNA_first_difference,tele_diff
PNA_seasonal_difference,tele_diff
PNA_seasonal_first_difference,tele_diff
WP_first_difference,tele_diff
WP_seasonal_difference,tele_diff
WP_seasonal_first_difference,tele_diff
BEST,lagged_tele
EA,lagged_tele
EA_t-1,lagged_tele
EA_t-10,lagged_tele
EA_t-11,lagged_tele
EA_t-12,lagged_tele
EA_t-2,lagged_tele
EA_t-3,lagged_tele
EA_t-4,lagged_tele
EA_t-5,lagged_tele
EA_t-6,lagged_tele
EA_t-7,lagged_tele
EA_t-8,lagged_tele
EA_t-9,lagged_tele
EPNP,lagged_tele
EPNP_t-10_x,lagged_tele
EPNP_t-10_y,lagged_tele
EPNP_t-11_x,lagged_tele
EPNP_t-11_y,lagged_tele
EPNP_t-12_x,lagged_tele
EPNP_t-12_y,lagged_tele
EPNP_t-1_x,lagged_tele
EPNP_t-1_y,lagged_tele
EPNP_t-2_x,lagged_tele
EPNP_t-2_y,lagged_tele
EPNP_t-3_x,lagged_tele
EPNP_t-3_y,lagged_tele
EPNP_t-4_x,lagged_tele
EPNP_t-4_y,lagged_tele
EPNP_t-5_x,lagged_tele
EPNP_t-5_y,lagged_tele
EPNP_t-6_x,lagged_tele
EPNP_t-6_y,lagged_tele
EPNP_t-7_x,lagged_tele
EPNP_t-7_y,lagged_tele
EPNP_t-8_x,lagged_tele
EPNP_t-8_y,lagged_tele
EPNP_t-9_x,lagged_tele
EPNP_t-9_y,lagged_tele
NAO,lagged_tele
NINA,lagged_tele
ONI,lagged_tele
PNA,lagged_tele
PNA_t-1,lagged_tele
PNA_t-10,lagged_tele
PNA_t-11,lagged_tele
PNA_t-12,lagged_tele
PNA_t-2,lagged_tele
PNA_t-3,lagged_tele
PNA_t-4,lagged_tele
PNA_t-5,lagged_tele
PNA_t-6,lagged_tele
PNA_t-7,lagged_tele
PNA_t-8,lagged_tele
PNA_t-9,lagged_tele
WP,lagged_tele
WP_t-1,lagged_tele
WP_t-10,lagged_tele
WP_t-11,lagged_tele
WP_t-12,lagged_tele
WP_t-2,lagged_tele
WP_t-3,lagged_tele
WP_t-4,lagged_tele
WP_t-5,lagged_tele
WP_t-6,lagged_tele
WP_t-7,lagged_tele
WP_t-8,lagged_tele
WP_t-9,lagged_tele
BEST,elnino_cat
BEST_Category,elnino_cat
EA,elnino_cat
EPNP,elnino_cat
NAO,elnino_cat
NINA,elnino_cat
NINA_Category,elnino_cat
ONI,elnino_cat
ONI_Category,elnino_cat
PNA,elnino_cat
WP,elnino_cat
BEST,lagged_elnino
BEST_Category,lagged_elnino
BEST_Category_t-1,lagged_elnino
BEST_Category_t-10,lagged_elnino
BEST_Category_t-11,lagged_elnino
BEST_Category_t-12,lagged_elnino
BEST_Category_t-2,lagged_elnino
BEST_Category_t-3,lagged_elnino
BEST_Category_t-4,lagged_elnino
BEST_Category_t-5,lagged_elnino
BEST_Category_t-6,lagged_elnino
BEST_Category_t-7,lagged_elnino
BEST_Category_t-8,lagged_elnino
BEST_Category_t-9,lagged_elnino
EA,lagged_elnino
EPNP,lagged_elnino
NAO,lagged_elnino
NINA,lagged_elnino
NINA_Category,lagged_elnino
NINA_Category_t-1,lagged_elnino
NINA_Category_t-10,lagged_elnino
NINA_Category_t-11,lagged_elnino
NINA_Category_t-12,lagged_elnino
NINA_Category_t-2,lagged_elnino
NINA_Category_t-3,lagged_elnino
NINA_Category_t-4,lagged_elnino
NINA_Category_t-5,lagged_elnino
NINA_Category_t-6,lagged_elnino
NINA_Category_t-7,lagged_elnino
NINA_Category_t-8,lagged_elnino
NINA_Category_t-9,lagged_elnino
ONI,lagged_elnino
ONI_Category,lagged_elnino
ONI_Category_t-1,lagged_elnino
ONI_Category_t-10,lagged_elnino
ONI_Category_t-11,lagged_elnino
ONI_Category_t-12,lagged_elnino
ONI_Category_t-2,lagged_elnino
ONI_Category_t-3,lagged_elnino
ONI_Category_t-4,lagged_elnino
ONI_Category_t-5,lagged_elnino
ONI_Category_t-6,lagged_elnino
ONI_Category_t-7,lagged_elnino
ONI_Category_t-8,lagged_elnino
ONI_Category_t-9,lagged_elnino
PNA,lagged_elnino
WP,lagged_elnino
BEST,overfitted
BEST_Category,overfitted
BEST_Category_t-1,overfitted
BEST_Category_t-10,overfitted
BEST_Category_t-11,overfitted
BEST_Category_t-12,overfitted
BEST_Category_t-2,overfitted
BEST_Category_t-3,overfitted
BEST_Category_t-4,overfitted
BEST_Category_t-5,overfitted
BEST_Category_t-6,overfitted
BEST_Category_t-7,overfitted
BEST_Category_t-8,overfitted
BEST_Category_t-9,overfitted
EA_first_difference,overfitted
EA_seasonal_difference,overfitted
EA_seasonal_first_difference,overfitted
EA_t-1,overfitted
EA_t-10,overfitted
EA_t-11,overfitted
EA_t-12,overfitted
EA_t-2,overfitted
EA_t-3,overfitted
EA_t-4,overfitted
EA_t-5,overfitted
EA_t-6,overfitted
EA_t-7,overfitted
EA_t-8,overfitted
EA_t-9,overfitted
EPNP_first_difference,overfitted
EPNP_seasonal_difference,overfitted
EPNP_seasonal_first_difference,overfitted
EPNP_t-1,overfitted
EPNP_t-10,overfitted
EPNP_t-11,overfitted
EPNP_t-12,overfitted
EPNP_t-2,overfitted
EPNP_t-3,overfitted
EPNP_t-4,overfitted
EPNP_t-5,overfitted
EPNP_t-6,overfitted
EPNP_t-7,overfitted
EPNP_t-8,overfitted
EPNP_t-9,overfitted
NAO_first_difference,overfitted
NAO_seasonal_difference,overfitted
NAO_seasonal_first_difference,overfitted
NAO_t-1,overfitted
NAO_t-10,overfitted
NAO_t-11,overfitted
NAO_t-12,overfitted
NAO_t-2,overfitted
NAO_t-3,overfitted
NAO_t-4,overfitted
NAO_t-5,overfitted
NAO_t-6,overfitted
NAO_t-7,overfitted
NAO_t-8,overfitted
NAO_t-9,overfitted
NINA,overfitted
NINA_Category,overfitted
NINA_Category_t-1,overfitted
NINA_Category_t-10,overfitted
NINA_Category_t-11,overfitted
NINA_Category_t-12,overfitted
NINA_Category_t-2,overfitted
NINA_Category_t-3,overfitted
NINA_Category_t-4,overfitted
NINA_Category_t-5,overfitted
NINA_Category_t-6,overfitted
NINA_Category_t-7,overfitted
NINA_Category_t-8,overfitted
NINA_Category_t-9,overfitted
ONI,overfitted
ONI_Category,overfitted
ONI_Category_t-1,overfitted
ONI_Category_t-10,overfitted
ONI_Category_t-11,overfitted
ONI_Category_t-12,overfitted
ONI_Category_t-2,overfitted
ONI_Category_t-3,overfitted
ONI_Category_t-4,overfitted
ONI_Category_t-5,overfitted
ONI_Category_t-6,overfitted
ONI_Category_t-7,overfitted
ONI_Category_t-8,overfitted
ONI_Category_t-9,overfitted
PNA_first_difference,overfitted
PNA_seasonal_difference,overfitted
PNA_seasonal_first_difference,overfitted
PNA_t-1,overfitted
PNA_t-10,overfitted
PNA_t-11,overfitted
PNA_t-12,overfitted
PNA_t-2,overfitted
PNA_t-3,overfitted
PNA_t-4,overfitted
PNA_t-5,overfitted
PNA_t-6,overfitted
PNA_t-7,overfitted
PNA_t-8,overfitted
PNA_t-9,overfitted
WP_first_difference,overfitted
WP_seasonal_difference,overfitted
WP_seasonal_first_difference,overfitted
WP_t-1,overfitted
WP_t-10,overfitted
WP_t-11,overfitted
WP_t-12,overfitted
WP_t-2,overfitted
WP_t-3,overfitted
WP_t-4,overfitted
WP_t-5,overfitted
WP_t-6,overfitted
WP_t-7,overfitted
WP_t-8,overfitted
WP_t-9,overfitted
BEST,ideal_lag
EA,ideal_lag
EPNP,ideal_lag
NAO,ideal_lag
NINA,ideal_lag
ONI,ideal_lag
PNA,ideal_lag
WP,ideal_lag
